Number of Jobs:                                   405
Number of Tiles:                                  213
Number of V2P:                                    110
Number Bytes of (High-Priority) Data Fetches:     1245184 / 1376256
Number Bytes of (High-Priority) Weights Fetches:  6784 / 125736
Number Bytes of (High-Priority) Data Pushes:      262160 / 1179664
Cycles of Compute Jobs:                           411294
Cycles of Overflow Data Movement:                 195151
Cycles of High-Priority Data Movement:            142184
Cycles of DRAM Access:                            262307
Cycles of the Whole Subgraph:                     774347
Predicted Latency of the Whole Subgraph:          0.774347 ms
--------------------------------------------------------------------------------------------------------------------
| Tick | Absolute Cycle Count | Delta Cycle Count | Job Name                                                       |
| 130  | 597216               | 175               | V2P                                                            |
| 131  | 597391               | 1233              | Conv2DDenseTT, WFETCH                                          |
| 132  | 598624               | 175               | V2P                                                            |
| 133  | 598799               | 1174              | InterpolationTwoPipesTT, WFETCH                                |
| 134  | 599973               | 919               | RELOCATE_FETCH_TABLE                                           |
| 135  | 600892               | 175               | V2P                                                            |
| 136  | 601067               | 855               | WFETCH, BatchNormTT                                            |
| 137  | 601922               | 175               | V2P                                                            |
| 138  | 602097               | 194               | ActivationTT                                                   |
| 139  | 602291               | 175               | V2P                                                            |
| 140  | 602466               | 873               | WFETCH, AddTT                                                  |
| 141  | 603339               | 175               | V2P                                                            |
| 142  | 603514               | 1221              | Conv2DDepthwiseDenseTT, WFETCH                                 |
| 143  | 604735               | 1284              | TCM2TCM_CP_T0                                                  |
| 144  | 606019               | 175               | V2P                                                            |
| 145  | 606194               | 1446              | RELOCATE_KERNELS                                               |
| 146  | 607640               | 1527              | Conv2DDepthwiseNeutron16x16Kernel3x3TT                         |
| 147  | 609167               | 175               | V2P                                                            |
| 148  | 609342               | 3604              | WFETCH_UNP, MemCpyTF                                           |
| 149  | 612946               | 175               | V2P                                                            |
| 150  | 613121               | 3423              | WFETCH, Conv2DPointwiseFF                                      |
| 151  | 616544               | 175               | V2P                                                            |
| 152  | 616719               | 1221              | AddFF                                                          |
| 153  | 617940               | 175               | V2P                                                            |
| 154  | 618115               | 3666              | WFETCH, WFETCH, WFETCH, WFETCH, MaxPoolDenseFF                 |
| 155  | 621781               | 175               | V2P                                                            |
| 156  | 621956               | 3446              | WFETCH_UNP, InterpolationTwoPipesFF                            |
| 157  | 625402               | 175               | V2P                                                            |
| 158  | 625577               | 3425              | WFETCH, BatchNormFF                                            |
| 159  | 629002               | 175               | V2P                                                            |
| 160  | 629177               | 3423              | WFETCH, ActivationFF                                           |
| 161  | 632600               | 175               | V2P                                                            |
| 162  | 632775               | 3446              | WFETCH_UNP, AddFF                                              |
| 163  | 636221               | 175               | V2P                                                            |
| 164  | 636396               | 4751              | WFETCH_CNM_UNP, Conv2DDepthwiseDenseFF                         |
| 165  | 641147               | 175               | V2P                                                            |
| 166  | 641322               | 1524              | RELOCATE_KERNELS                                               |
| 167  | 642846               | 1241              | Conv2DDenseFF, WFETCH, WFETCH, WFETCH, WFETCH                  |
| 168  | 644087               | 175               | V2P                                                            |
| 169  | 644262               | 873               | WFETCH, MemCpyFT                                               |
| 170  | 645135               | 175               | V2P                                                            |
| 171  | 645310               | 310               | InterpolationTwoPipesTT                                        |
| 172  | 645620               | 175               | V2P                                                            |
| 173  | 645795               | 856               | WFETCH, BatchNormTT                                            |
| 174  | 646651               | 175               | V2P                                                            |
| 175  | 646826               | 855               | WFETCH, MemCpyFT                                               |
| 176  | 647681               | 175               | V2P                                                            |
| 177  | 647856               | 873               | WFETCH, ActivationTT                                           |
| 178  | 648729               | 175               | V2P                                                            |
| 179  | 648904               | 893               | WFETCH, AddTT                                                  |
| 180  | 649797               | 175               | V2P                                                            |
| 181  | 649972               | 303               | Conv2DDepthwiseDenseTT                                         |
| 182  | 650275               | 1188              | TCM2TCM_CP_T0                                                  |
| 183  | 651463               | 175               | V2P                                                            |
| 184  | 651638               | 395               | Conv2DDepthwiseDenseTT                                         |
| 185  | 652033               | 175               | V2P                                                            |
| 186  | 652208               | 3604              | WFETCH_UNP                                                     |
| 187  | 655812               | 175               | V2P                                                            |
| 188  | 655987               | 3423              | WFETCH, MemCpyTF                                               |
| 189  | 659410               | 175               | V2P                                                            |
| 190  | 659585               | 186               | Conv2DPointwiseFF                                              |
| 191  | 659771               | 175               | V2P                                                            |
| 192  | 659946               | 303               | AddFF                                                          |
| 193  | 660249               | 175               | V2P                                                            |
| 194  | 660424               | 3666              | WFETCH, WFETCH, WFETCH, WFETCH, MaxPoolDenseFF                 |
| 195  | 664090               | 916               | RELOCATE_FETCH_TABLE                                           |
| 196  | 665006               | 175               | V2P                                                            |
| 197  | 665181               | 3446              | WFETCH_UNP, StridedSliceConcatFF                               |
| 198  | 668627               | 175               | V2P                                                            |
| 199  | 668802               | 3425              | WFETCH, InterpolationTwoPipesFF                                |
| 200  | 672227               | 175               | V2P                                                            |
| 201  | 672402               | 3423              | WFETCH, BatchNormFF                                            |
| 202  | 675825               | 175               | V2P                                                            |
| 203  | 676000               | 3446              | WFETCH_UNP, ActivationFF                                       |
| 204  | 679446               | 175               | V2P                                                            |
| 205  | 679621               | 4751              | WFETCH_CNM_UNP, AddFF                                          |
| 206  | 684372               | 175               | V2P                                                            |
| 207  | 684547               | 1465              | RELOCATE_KERNELS                                               |
| 208  | 686012               | 3666              | WFETCH, WFETCH, WFETCH, WFETCH, Conv2DDepthwiseDenseFF         |
| 209  | 689678               | 175               | V2P                                                            |
| 210  | 689853               | 3446              | WFETCH_UNP, Conv2DDenseFF                                      |
| 211  | 693299               | 175               | V2P                                                            |
| 212  | 693474               | 3425              | WFETCH, InterpolationTwoPipesFF                                |
| 213  | 696899               | 175               | V2P                                                            |
| 214  | 697074               | 3423              | WFETCH, BatchNormFF                                            |
| 215  | 700497               | 175               | V2P                                                            |
| 216  | 700672               | 3446              | WFETCH_UNP, ActivationFF                                       |
| 217  | 704118               | 175               | V2P                                                            |
| 218  | 704293               | 3487              | WFETCH_UNP, AddFF                                              |
| 219  | 707780               | 175               | V2P                                                            |
| 220  | 707955               | 3522              | WFETCH_UNP, Conv2DDepthwiseDenseFF                             |
| 221  | 711477               | 175               | V2P                                                            |
| 222  | 711652               | 3423              | WFETCH, Conv2DDepthwiseDenseFF                                 |
| 223  | 715075               | 175               | V2P                                                            |
| 224  | 715250               | 150               | Conv2DPointwiseFF                                              |
| 225  | 715400               | 175               | V2P                                                            |
| 226  | 715575               | 150               | AddFF                                                          |
| 227  | 715725               | 175               | V2P                                                            |
| 228  | 715900               | 3666              | WFETCH, WFETCH, WFETCH, WFETCH, MaxPoolDenseFF                 |
| 229  | 719566               | 175               | V2P                                                            |
| 230  | 719741               | 3446              | WFETCH_UNP, StridedSliceConcatFF                               |
| 231  | 723187               | 175               | V2P                                                            |
| 232  | 723362               | 3425              | WFETCH, InterpolationTwoPipesFF                                |
| 233  | 726787               | 175               | V2P                                                            |
| 234  | 726962               | 3423              | WFETCH, BatchNormFF                                            |
| 235  | 730385               | 175               | V2P                                                            |
| 236  | 730560               | 3446              | WFETCH_UNP, ActivationFF                                       |
| 237  | 734006               | 175               | V2P                                                            |
| 238  | 734181               | 4096              | WFETCH_UNP, AddFF                                              |
| 239  | 738277               | 175               | V2P                                                            |
| 240  | 738452               | 3666              | WFETCH, WFETCH, WFETCH, WFETCH, Conv2DDepthwiseDenseFF         |
| 241  | 742118               | 175               | V2P                                                            |
| 242  | 742293               | 3446              | WFETCH_UNP, Conv2DDenseFF                                      |
| 243  | 745739               | 175               | V2P                                                            |
| 244  | 745914               | 3425              | WFETCH, InterpolationTwoPipesFF                                |
| 245  | 749339               | 175               | V2P                                                            |
| 246  | 749514               | 3423              | WFETCH, BatchNormFF                                            |
| 247  | 752937               | 175               | V2P                                                            |
| 248  | 753112               | 3446              | WFETCH_UNP, ActivationFF                                       |
| 249  | 756558               | 175               | V2P                                                            |
| 250  | 756733               | 3487              | WFETCH_UNP, AddFF                                              |
| 251  | 760220               | 175               | V2P                                                            |
| 252  | 760395               | 3522              | WFETCH_UNP, Conv2DDepthwiseDenseFF                             |
| 253  | 763917               | 368               | RELOCATE_FETCH_TABLE                                           |
| 254  | 764285               | 175               | V2P                                                            |
| 255  | 764460               | 3423              | WFETCH, Conv2DDepthwiseDenseFF                                 |
| 256  | 767883               | 175               | V2P                                                            |
| 257  | 768058               | 3768              | WFETCH_UNP, Conv2DPointwiseFF                                  |
| 258  | 771826               | 175               | V2P                                                            |
| 259  | 772001               | 150               | AddFF                                                          |
| 260  | 772151               | 175               | V2P                                                            |
| 261  | 772326               | 411               | RELOCATE_KERNELS                                               |
| 262  | 772737               | 150               | Conv2DDenseFF                                                  |
| 263  | 772887               | 609               | MemCpyFT                                                       |
| 264  | 773496               | 851               | PUSH                                                           |
--------------------------------------------------------------------------------------------------------------------
